"Primary_key","Working_hours","JOB_CONDITION","JOB_CATEGORY","economic_sector","Employee_count","WORK_DESCRIPTION","Emolument","Company_category","Job_dep","Terms_of_emp"
605,1744,"C","O","QB","tr_4","526a",20360,"ct_8","71","CDI"
608,1327,"C","O","GZ","tr_1","636d",12498,"ct_9","01","CDI"
609,817,"P","O","IZ","tr_1","542a",9039,"ct_9","71","CDI"
613,1820,"C","O","CE","tr_4","372c",50096,"ct_9","01","CDI"
615,1482,"C","O","FZ","tr_3","621c",32231,"ct_9","69","CDI"
621,1604,"C","O","GZ","tr_2","487a",17447,"ct_9","01","CDI"
626,392,"P","O","MA","tr_0","542a",6435,"ct_6","01","CDI"
630,1335,"P","O","QA","tr_1","431f",18652,"ct_8","01","CDI"
631,1649,"C","O","GZ","tr_1","554b",15337,"ct_9","69","CDI"
635,1015,"C","O","PZ","tr_1","423a",13157,"ct_9","69","CDI"
641,1820,"C","O","OZ","tr_6","451g",20922,"ct_2","01","CDI"
644,1420,"C","O","HZ","tr_2","546c",17708,"ct_9","69","CDI"
645,1533,"C","O","GZ","tr_5","634c",22917,"ct_9","69","CDI"
648,1527,"C","O","QB","tr_5","684a",14988,"ct_8","01","CDI"
657,1986,"C","O","EZ","tr_1","477d",37477,"ct_9","71","CDI"
660,333,"C","O","GZ","tr_3","551a",2134,"ct_9","01","CDI"
666,1540,"C","O","HZ","tr_4","466a",23781,"ct_9","01","CDI"
673,1943,"C","O","QA","tr_5","431f",28163,"ct_3","69","AUT"
681,1820,"C","O","JC","tr_5","388b",28184,"ct_9","38","CDI"
691,1234,"C","O","CI","tr_6","672a",10011,"ct_9","01","CDI"
694,1519,"C","O","JA","tr_4","543f",15851,"ct_9","75","CDI"
706,1867,"C","O","OZ","tr_4","621f",20560,"ct_2","01","AUT"
707,1147,"C","O","QB","tr_2","423b",12096,"ct_8","01","CDI"
708,1820,"C","O","QB","tr_4","526d",23885,"ct_8","39","CDI"
713,1235,"C","O","NZ","tr_2","543f",15338,"ct_9","69","CDI"
716,1751,"C","O","GZ","tr_4","543g",17297,"ct_9","69","CDI"
722,786,"P","O","SZ","tr_3","421a",20074,"ct_8","01","CDI"
728,1751,"C","O","CF","tr_6","475a",30039,"ct_9","01","CDI"
732,2687,"N","O","QB","tr_1","563a",8978,"ct_7","01","CDI"
739,1781,"C","O","CG","tr_5","461d",39113,"ct_9","01","CDI"
740,667,"N","O","TZ","tr_1","563a",4865,"ct_7","01","CDI"
744,1822,"C","O","CG","tr_6","484a",27584,"ct_9","01","CDI"
749,480,"C","O","OZ","tr_3","333f",7304,"ct_2","01","CDD"
751,656,"C","O","GZ","tr_1","681b",6940,"ct_9","01","CDD"
761,1820,"C","O","PZ","tr_2","421b",27896,"ct_2","01","AUT"
765,1710,"C","A","CE","tr_5","674a",21152,"ct_9","69","APP"
773,1837,"C","O","MA","tr_2","543b",24322,"ct_9","01","CDI"
776,706,"P","O","SZ","tr_1","562b",7679,"ct_9","01","CDI"
780,1820,"C","O","OZ","tr_4","472d",19145,"ct_2","01","CDD"
781,1640,"C","O","FZ","tr_1","632c",22485,"ct_6","69","CDI"
797,1583,"C","O","GZ","tr_5","552a",16871,"ct_9","01","CDI"
800,1821,"C","O","KZ","tr_6","461f",32637,"ct_9","69","CDI"
801,1845,"C","O","PZ","tr_5","422b",31123,"ct_1","01","AUT"
806,1646,"P","O","GZ","tr_5","552a",16935,"ct_9","01","CDI"
815,1680,"C","O","QA","tr_0","525d",14726,"ct_9","01","CDI"
816,3000,"N","O","QB","tr_1","563a",25090,"ct_7","01","CDI"
817,586,"C","A","GZ","tr_1","682a",1919,"ct_9","01","APP"
834,1820,"C","O","QB","tr_4","431f",24527,"ct_3","01","AUT"
837,1512,"P","O","QA","tr_6","526a",18204,"ct_3","01","AUT"
840,1820,"C","O","KZ","tr_6","467a",29811,"ct_9","01","CDI"
841,1815,"C","O","QB","tr_4","434f",19425,"ct_8","01","CDI"
843,2020,"C","O","CF","tr_3","477b",37054,"ct_9","71","CDI"
847,969,"C","O","IZ","tr_2","636d",8830,"ct_9","01","CDI"
848,1456,"P","O","KZ","tr_6","467c",25751,"ct_8","69","CDI"
849,147,"P","O","QB","tr_5","344b",17887,"ct_9","69","CDD"
850,519,"P","O","IZ","tr_3","561d",4629,"ct_9","01","CDI"
852,1820,"C","O","KZ","tr_1","376d",38381,"ct_9","01","CDI"
855,2026,"C","O","CK","tr_6","384a",62059,"ct_9","69","CDI"
857,405,"N","O","TZ","tr_1","563c",3364,"ct_7","69","CDI"
862,1642,"C","O","PZ","tr_1","423a",16397,"ct_9","01","CDI"
867,1798,"C","O","JC","tr_6","388a",27125,"ct_9","69","CDI"
871,3000,"C","O","OZ","tr_6","532a",29282,"ct_1","36","AUT"
876,1834,"C","O","MA","tr_1","372e",28128,"ct_9","69","CDI"
880,1785,"C","O","CE","tr_5","487a",29952,"ct_9","01","CDI"
882,1542,"C","O","QB","tr_5","526c",15883,"ct_9","01","CDI"
883,1842,"C","O","NZ","tr_3","431f",33099,"ct_9","69","CDI"
884,1335,"C","O","CA","tr_3","674c",11501,"ct_9","01","CDI"
886,1519,"C","O","CL","tr_6","477b",23179,"ct_9","69","CDI"
890,1425,"P","O","CG","tr_5","479b",19763,"ct_9","01","CDI"
896,1634,"C","O","GZ","tr_5","374c",65621,"ct_9","69","CDI"
902,1981,"C","O","HZ","tr_5","466c",26420,"ct_9","01","CDI"
904,1989,"C","O","CC","tr_3","675b",23544,"ct_9","69","CDI"
908,1896,"C","O","GZ","tr_6","462e",33251,"ct_9","38","CDI"
910,1820,"C","O","QB","tr_4","525d",16024,"ct_8","01","CDI"
916,1849,"C","O","GZ","tr_6","676c",22271,"ct_9","01","CDI"
918,1862,"C","O","RZ","tr_6","543f",23331,"ct_9","85","CDI"
925,3000,"N","O","QB","tr_0","563a",24169,"ct_7","01","CDI"
941,1820,"C","O","KZ","tr_6","542a",29455,"ct_8","69","CDI"
950,170,"C","O","GZ","tr_0","373d",14723,"ct_9","01","CDI"
955,2274,"C","O","NZ","tr_3","534a",23787,"ct_6","01","CDI"
956,2401,"C","O","PZ","tr_3","341a",36625,"ct_8","07","CDI"
962,1616,"C","A","FZ","tr_3","671c",8700,"ct_9","01","APP"
971,1820,"C","O","OZ","tr_6","431a",36736,"ct_2","01","AUT"
985,1879,"C","O","GZ","tr_2","634d",17171,"ct_9","02","CDI"
989,861,"C","O","QB","tr_4","372b",23471,"ct_9","02","CDI"
994,1993,"C","O","QB","tr_5","434d",30025,"ct_2","02","AUT"
998,1708,"C","O","CL","tr_5","484b",42585,"ct_9","02","CDI"
1000,1453,"P","O","GZ","tr_6","552a",14360,"ct_9","51","CDI"
1021,1787,"C","X","QB","tr_4","676e",8567,"ct_8","02","AUT"
1025,1772,"C","O","RZ","tr_1","424a",17797,"ct_8","02","CDI"
1032,1396,"C","O","OZ","tr_5","372a",14061,"ct_8","02","CDI"
1036,1808,"C","O","GZ","tr_5","674d",24961,"ct_9","02","CDI"
1049,637,"C","X","QB","tr_1","525d",6278,"ct_8","02","AUT"
1052,1321,"P","O","QB","tr_5","524c",12577,"ct_2","02","CDI"
1057,1192,"C","O","FZ","tr_1","633a",23016,"ct_9","02","CDI"
1075,1620,"C","O","CA","tr_4","625f",19015,"ct_9","02","CDD"
1090,1906,"C","O","GZ","tr_5","552a",19188,"ct_9","60","CDI"
1097,329,"C","O","HZ","tr_3","641b",3183,"ct_9","02","CDI"
1098,1983,"C","O","HZ","tr_3","641a",20107,"ct_9","02","CDI"
1100,1140,"C","O","CK","tr_4","628b",17673,"ct_9","02","CDI"
1121,1820,"C","O","NZ","tr_6","684a",20240,"ct_9","75","CDI"
1126,2200,"C","O","MA","tr_1","641a",26279,"ct_6","59","CDI"
1128,1819,"C","O","QB","tr_4","632k",18293,"ct_3","80","CDD"
1137,1044,"C","O","NZ","tr_4","634d",8962,"ct_9","93","CDI"
1138,1820,"C","O","PZ","tr_3","421b",26694,"ct_8","02","CDI"
1141,1185,"C","O","CM","tr_6","626b",14181,"ct_9","02","CDI"
1149,1434,"P","O","QB","tr_5","563b",18953,"ct_2","02","AUT"
1162,492,"C","O","NZ","tr_1","463e",5259,"ct_9","02","TTP"
1164,1371,"P","O","QB","tr_5","524c",15808,"ct_2","02","CDI"
1171,1544,"C","O","FZ","tr_3","632f",25155,"ct_9","02","CDI"
1181,1689,"C","O","NZ","tr_1","624e",16221,"ct_9","02","CDI"
1189,1784,"C","A","BZ","tr_3","475b",19703,"ct_9","02","APP"
1194,1825,"C","O","CG","tr_6","653a",26243,"ct_9","02","CDI"
1196,1915,"C","O","OZ","tr_5","486e",25515,"ct_8","02","CDI"
1198,1002,"P","O","IZ","tr_1","561c",9941,"ct_9","02","CDI"
1199,1660,"C","O","QB","tr_4","526a",18264,"ct_9","02","CDI"
1210,1819,"C","O","PZ","tr_4","341a",29107,"ct_8","77","CDI"
1219,1813,"C","O","MC","tr_3","434c",25554,"ct_8","02","CDI"
1229,1187,"P","O","GZ","tr_1","554e",13372,"ct_9","02","CDI"
1236,1923,"C","O","CI","tr_3","462c",31941,"ct_9","51","CDI"
1240,873,"P","O","NZ","tr_5","684a",7588,"ct_9","02","CDI"
1243,1820,"C","O","GZ","tr_5","534a",20308,"ct_9","02","CDI"
1246,1885,"C","O","FZ","tr_3","621e",32374,"ct_9","02","CDI"
1248,1666,"C","O","CK","tr_0","623g",26958,"ct_9","02","CDI"
1252,1851,"C","O","CA","tr_6","652a",25118,"ct_9","80","CDI"
1259,1065,"P","X","OZ","tr_1","524c",8406,"ct_2","02","AUT"
1261,300,"C","O","CB","tr_3","627a",2691,"ct_9","59","CDD"
1266,2200,"C","O","CM","tr_3","477b",27635,"ct_9","02","CDI"
1271,501,"C","O","CK","tr_4","624b",3670,"ct_9","02","CDI"
1278,1690,"C","O","CJ","tr_5","674d",15103,"ct_9","02","CDI"
1279,1820,"C","O","QA","tr_1","526b",21143,"ct_9","51","CDI"
1285,1713,"C","X","CE","tr_6","461f",21944,"ct_9","59","AUT"
1290,807,"P","O","PZ","tr_3","422e",6314,"ct_8","51","CDI"
1301,1006,"C","O","CM","tr_4","676c",17622,"ct_9","02","CDI"
1305,1819,"C","O","QA","tr_6","632k",19406,"ct_3","51","AUT"
1308,1548,"C","O","CM","tr_3","433c",17448,"ct_9","02","CDI"
1311,1890,"C","O","PZ","tr_3","422b",26042,"ct_4","02","CDI"
1325,384,"P","O","NZ","tr_1","684a",5167,"ct_9","02","CDD"
1330,936,"P","O","OZ","tr_1","524c",13354,"ct_2","02","CDI"
1337,806,"P","O","CM","tr_1","542a",6525,"ct_9","02","CDI"
1341,1705,"C","O","NZ","tr_6","534a",19233,"ct_9","60","CDI"
1343,1620,"C","O","FZ","tr_3","632a",21012,"ct_9","02","CDI"
1345,592,"P","O","QB","tr_3","564b",5384,"ct_8","02","CDD"
1347,1385,"C","O","OZ","tr_2","461f",19353,"ct_8","02","CDI"
1365,1669,"C","O","LZ","tr_1","461f",22870,"ct_9","02","CDI"
1368,1498,"P","O","MA","tr_3","461b",27004,"ct_9","77","CDI"
1372,1820,"C","O","PZ","tr_1","421b",24926,"ct_8","02","CDI"
1395,1884,"C","O","CL","tr_5","673c",24321,"ct_9","60","CDI"
1409,2041,"C","O","CA","tr_5","543b",32236,"ct_9","02","CDI"
1411,1928,"C","O","OZ","tr_1","524c",22918,"ct_2","02","AUT"
1412,1139,"C","O","LZ","tr_1","463e",16212,"ct_9","02","CDI"
1416,2490,"C","O","HZ","tr_6","641a",26361,"ct_9","42","CDI"
1422,1893,"C","O","HZ","tr_3","676b",20298,"ct_9","51","CDI"
1424,347,"C","O","QA","tr_6","632k",3440,"ct_3","02","CDD"
1430,1976,"C","O","SZ","tr_1","564b",18049,"ct_9","02","CDI"
1431,817,"C","O","FZ","tr_3","632j",9506,"ct_9","51","CDI"
1433,1978,"C","O","HZ","tr_6","466c",34162,"ct_9","95","CDI"
1446,1683,"C","O","MA","tr_6","477b",16697,"ct_9","93","CDI"
1455,1663,"C","O","HZ","tr_5","655a",26265,"ct_9","02","CDI"
1456,1230,"P","O","GZ","tr_2","551a",12827,"ct_9","02","CDI"
1461,2200,"C","O","CA","tr_5","477b",23430,"ct_9","02","CDI"
1464,1820,"C","O","QB","tr_6","434f",17963,"ct_8","02","CDI"
1466,1820,"C","O","QB","tr_1","525d",17953,"ct_8","02","CDI"
1470,545,"P","O","HZ","tr_4","641b",6249,"ct_9","52","CDI"
1471,2818,"N","O","TZ","tr_1","563c",23710,"ct_7","02","CDI"
1473,1342,"P","O","QB","tr_6","525d",14048,"ct_3","93","AUT"
1490,1876,"C","O","CE","tr_4","625c",25367,"ct_9","02","CDI"
1492,1236,"C","O","KZ","tr_1","526b",13952,"ct_9","77","CDI"
1496,1820,"C","O","PZ","tr_3","423b",29676,"ct_1","02","CDI"
1522,1820,"C","O","HZ","tr_4","451a",20688,"ct_9","02","CDI"
1527,1990,"C","O","GZ","tr_1","636b",18825,"ct_9","02","CDI"
1541,698,"C","O","QB","tr_3","526a",6116,"ct_8","02","CDI"
1555,1459,"C","O","GZ","tr_3","486d",17802,"ct_9","02","CDI"
1556,1852,"C","O","CG","tr_6","625b",29703,"ct_9","02","CDI"
1563,1827,"C","O","QA","tr_6","526a",21265,"ct_3","59","CDI"
1566,1264,"P","O","MC","tr_1","526b",14697,"ct_6","02","CDI"
1577,1771,"C","O","FZ","tr_4","382c",39890,"ct_9","02","CDI"
1585,1487,"C","O","GZ","tr_1","387e",26488,"ct_9","02","CDI"
1588,1101,"C","X","SZ","tr_2","685a",9225,"ct_8","02","AUT"
1596,776,"P","O","GZ","tr_4","553c",6127,"ct_9","60","CDD"
1601,1832,"C","O","HZ","tr_5","643a",17818,"ct_9","02","CDI"
1603,1820,"C","O","HZ","tr_4","451a",20942,"ct_9","02","CDI"
1606,1685,"C","O","RZ","tr_6","534a",25736,"ct_9","77","CDI"
1607,2200,"C","O","NZ","tr_2","691a",28659,"ct_8","02","CDI"
1609,952,"C","O","KZ","tr_1","545c",11328,"ct_9","08","CDI"
1614,885,"P","O","QA","tr_6","526a",9804,"ct_8","02","CDI"
1618,1391,"P","O","KZ","tr_5","467c",34337,"ct_8","02","CDI"
1622,1669,"C","O","LZ","tr_1","543g",17775,"ct_9","02","CDI"
1630,1833,"C","O","NZ","tr_1","685a",22433,"ct_9","02","CDI"
1631,1969,"C","O","HZ","tr_6","546b",24994,"ct_5","75","CDI"
1632,1791,"C","O","GZ","tr_1","554f",14154,"ct_9","02","CDI"
1633,1624,"C","O","FZ","tr_2","681a",14102,"ct_9","02","CDI"
1638,1164,"N","O","NZ","tr_1","653a",15634,"ct_9","02","TTP"
1640,1976,"C","O","OZ","tr_4","467d",27375,"ct_8","02","CDI"
1644,2049,"C","O","DZ","tr_4","477c",36162,"ct_9","02","CDI"
1653,1940,"C","O","GZ","tr_2","462b",27043,"ct_9","51","CDI"
1660,540,"P","O","NZ","tr_5","684a",4702,"ct_9","02","CDI"
1661,2077,"C","O","NZ","tr_4","684a",18390,"ct_9","02","CDI"
1666,1917,"C","O","QB","tr_3","434f",27098,"ct_8","02","CDI"
1672,1451,"C","O","NZ","tr_1","676c",12298,"ct_9","02","TTP"
1679,1318,"P","O","MA","tr_3","542a",14647,"ct_9","93","CDI"
1680,1820,"C","O","HZ","tr_6","676c",16412,"ct_9","60","CDI"
1686,1737,"C","A","GZ","tr_3","682a",13154,"ct_9","51","APP"
1687,1212,"C","O","RZ","tr_1","424a",10357,"ct_9","02","CDI"
1691,1820,"C","O","PZ","tr_3","341a",26144,"ct_1","02","AUT"
1717,1611,"P","O","GZ","tr_1","551a",6900,"ct_9","02","CDI"
1723,2168,"C","O","QA","tr_2","526e",23132,"ct_9","02","CDI"
1731,1295,"C","O","FZ","tr_0","671c",13968,"ct_6","80","CDI"
1736,1279,"P","O","GZ","tr_1","344d",27963,"ct_9","02","CDI"
1748,1820,"C","O","GZ","tr_2","634a",18678,"ct_9","02","CDI"
1750,1711,"C","O","FZ","tr_4","641a",21618,"ct_9","02","CDI"
1774,1710,"P","O","QA","tr_4","526a",21273,"ct_8","51","CDI"
1778,784,"C","O","FZ","tr_1","632a",4117,"ct_9","02","CDI"
1780,3000,"N","O","QB","tr_1","563a",16586,"ct_7","02","CDI"
1781,847,"P","O","GZ","tr_3","551a",11137,"ct_9","02","CDI"
1788,1820,"C","O","KZ","tr_6","467b",28360,"ct_9","02","CDI"
1794,1820,"C","O","QB","tr_1","525d",16458,"ct_8","02","CDI"
1799,1507,"C","O","EZ","tr_1","472c",17173,"ct_9","02","CDI"
1809,1694,"C","O","QB","tr_4","526a",18231,"ct_9","03","CDI"
1821,1414,"C","O","FZ","tr_1","632d",16168,"ct_9","63","CDI"
1824,1172,"P","O","HZ","tr_3","451a",18888,"ct_9","42","AUT"
1831,1909,"C","O","GZ","tr_1","462b",23885,"ct_9","03","CDI"
1833,808,"P","O","PZ","tr_2","423b",13519,"ct_9","63","CDI"
1836,1493,"C","O","FZ","tr_1","632g",16227,"ct_9","03","CDI"
1837,1595,"P","O","GZ","tr_5","552a",14600,"ct_9","71","CDI"
1852,1820,"C","O","QA","tr_6","526a",22038,"ct_3","03","AUT"
1856,1928,"C","O","NZ","tr_5","534a",19692,"ct_9","18","CDI"
1872,1605,"C","O","GZ","tr_2","462b",30362,"ct_9","03","CDI"
1873,1695,"C","O","CL","tr_6","477b",24984,"ct_9","03","CDI"
1876,806,"C","O","RZ","tr_1","561b",6112,"ct_9","03","CDI"
1880,1468,"C","O","NZ","tr_1","631a",15571,"ct_9","03","TTP"
1882,1602,"C","O","CC","tr_3","675b",17544,"ct_9","63","CDI"
1895,758,"C","O","IZ","tr_1","561d",7313,"ct_9","03","CDI"
1903,1540,"C","O","GZ","tr_3","463e",27513,"ct_9","03","CDI"
1911,1828,"C","O","LZ","tr_6","480a",29121,"ct_5","63","CDI"
1912,2191,"C","O","LZ","tr_0","463e",15573,"ct_9","63","CDI"
1913,2028,"C","O","GZ","tr_3","641a",26469,"ct_9","03","CDI"
1922,1512,"N","O","QB","tr_0","563a",5964,"ct_7","03","CDI"
1932,186,"P","O","GZ","tr_1","554e",2348,"ct_9","03","CDI"
1934,1828,"C","O","GZ","tr_3","463c",20765,"ct_9","82","CDI"
1937,2200,"C","O","HZ","tr_2","641a",24285,"ct_9","03","CDI"
1941,885,"C","O","NZ","tr_1","676e",10437,"ct_9","03","TTP"
1945,1779,"C","O","DZ","tr_3","477c",27879,"ct_9","03","CDI"
1956,1757,"C","O","CA","tr_6","625d",25397,"ct_9","75","CDI"
1962,1627,"C","O","GZ","tr_1","433d",17264,"ct_6","03","CDI"
1963,1748,"C","O","KZ","tr_1","467c",26870,"ct_9","03","CDI"
1965,1678,"C","O","GZ","tr_1","634c",17053,"ct_9","03","CDI"
1966,675,"C","O","FZ","tr_1","675b",7766,"ct_9","03","CDD"
1970,1747,"C","O","MA","tr_5","485a",25673,"ct_8","93","CDI"
1971,1820,"C","O","QB","tr_5","632k",20440,"ct_3","03","AUT"
1972,890,"C","O","QA","tr_6","432b",10423,"ct_3","03","CDD"
1981,1641,"C","O","QA","tr_5","526a",21546,"ct_8","63","CDI"
1983,2602,"N","O","QB","tr_0","563a",9407,"ct_7","03","CDI"
1984,1880,"C","O","GZ","tr_1","653a",23815,"ct_9","03","CDI"
1988,3000,"N","O","QB","tr_0","563a",8678,"ct_7","03","CDI"
1989,520,"P","O","GZ","tr_1","551a",5761,"ct_9","03","CDI"
1990,747,"P","O","QA","tr_1","526b",7767,"ct_6","03","CDI"
1993,1970,"C","O","CG","tr_2","632b",18313,"ct_9","03","CDI"
1995,1367,"C","O","CK","tr_6","624f",23788,"ct_9","03","CDI"
