"Primary_key","Club"
3667,"cf209"
3668,"cf209"
3670,"cf138"
3672,"cf131"
3675,"cf209"
3678,"cf138"
3680,"cf103"
3681,"cf138"
3682,"cf103"
3684,"cf228"
3686,"cf103"
3687,"cf209"
3688,"cf209"
3689,"cf103"
3690,"cf103"
3695,"cf138"
3696,"cf213"
3699,"cf203"
3701,"cf228"
3703,"cf228"
3704,"cf131"
3706,"cf103"
3707,"cf131"
3708,"cf105"
3710,"cf103"
3711,"cf203"
3712,"cf209"
3713,"cf209"
3715,"cf138"
3716,"cf105"
3719,"cf213"
3722,"cf131"
3728,"cf138"
3733,"cf213"
3735,"cf131"
3736,"cf103"
3738,"cf201"
3739,"cf105"
3740,"cf138"
3743,"cf213"
3744,"cf131"
3746,"cf228"
3751,"cf103"
3754,"cf203"
3755,"cf131"
3758,"cf131"
3759,"cf108"
3760,"cf209"
3763,"cf131"
3764,"cf103"
3765,"cf209"
3766,"cf228"
3767,"cf213"
3768,"cf105"
3769,"cf228"
3772,"cf103"
3773,"cf203"
3775,"cf103"
3776,"cf209"
3778,"cf131"
3779,"cf103"
3780,"cf209"
3781,"cf138"
3785,"cf105"
3789,"cf103"
3791,"cf131"
3792,"cf112"
3795,"cf112"
3800,"cf228"
3803,"cf131"
3804,"cf203"
3805,"cf203"
3806,"cf209"
3810,"cf105"
3811,"cf228"
3818,"cf213"
3820,"cf228"
3822,"cf213"
3828,"cf228"
3829,"cf131"
3831,"cf112"
3834,"cf112"
3840,"cf138"
3842,"cf103"
3846,"cf103"
3849,"cf209"
3852,"cf138"
3854,"cf203"
3857,"cf105"
3859,"cf201"
3860,"cf108"
3861,"cf103"
3866,"cf228"
3867,"cf112"
3870,"cf103"
3871,"cf103"
3874,"cf228"
3875,"cf112"
3876,"cf131"
3877,"cf103"
3880,"cf228"
3884,"cf131"
3885,"cf203"
3891,"cf209"
3893,"cf209"
3894,"cf138"
3895,"cf209"
3896,"cf131"
3898,"cf131"
3899,"cf203"
3900,"cf105"
3904,"cf209"
3905,"cf131"
3906,"cf138"
3910,"cf228"
3911,"cf213"
3912,"cf131"
3914,"cf209"
3915,"cf108"
3916,"cf228"
3918,"cf228"
3920,"cf103"
3922,"cf105"
3926,"cf131"
3927,"cf131"
3928,"cf203"
3929,"cf103"
3935,"cf138"
3937,"cf201"
3941,"cf228"
3942,"cf213"
3943,"cf138"
3944,"cf203"
3947,"cf112"
3949,"cf228"
3950,"cf213"
3952,"cf201"
3953,"cf112"
3955,"cf103"
3956,"cf103"
3959,"cf105"
3961,"cf105"
3962,"cf103"
3963,"cf203"
3967,"cf138"
3968,"cf103"
3970,"cf103"
3971,"cf203"
3974,"cf209"
3976,"cf105"
3979,"cf131"
3980,"cf105"
3983,"cf201"
3984,"cf203"
3986,"cf131"
3987,"cf203"
3988,"cf228"
3990,"cf213"
3992,"cf228"
3993,"cf103"
3994,"cf203"
3995,"cf213"
3996,"cf203"
3998,"cf131"
4003,"cf103"
4005,"cf131"
4007,"cf228"
4008,"cf105"
4009,"cf103"
4010,"cf209"
4012,"cf131"
4013,"cf103"
4015,"cf203"
4016,"cf138"
4017,"cf108"
4018,"cf138"
4019,"cf105"
4020,"cf131"
4021,"cf103"
4023,"cf138"
4024,"cf105"
4025,"cf108"
4027,"cf201"
4029,"cf228"
4031,"cf103"
4032,"cf213"
4033,"cf112"
4035,"cf201"
4037,"cf112"
4042,"cf103"
4043,"cf103"
4044,"cf105"
4045,"cf209"
4046,"cf228"
4047,"cf228"
4049,"cf105"
4050,"cf201"
4052,"cf138"
4056,"cf203"
4057,"cf105"
4058,"cf203"
4061,"cf103"
4062,"cf213"
4063,"cf213"
4065,"cf131"
4066,"cf201"
4069,"cf209"
4072,"cf228"
4073,"cf138"
4075,"cf203"
4080,"cf213"
4083,"cf203"
4084,"cf209"
4085,"cf203"
4089,"cf105"
4090,"cf138"
4091,"cf105"
4093,"cf103"
4095,"cf203"
4097,"cf209"
4099,"cf138"
4100,"cf105"
4103,"cf103"
4105,"cf131"
4106,"cf131"
4107,"cf138"
4108,"cf105"
4116,"cf103"
4138,"cf219"
4140,"cf115"
4146,"cf410"
4149,"cf245"
4153,"cf111"
4159,"cf111"
4161,"cf125"
4162,"cf125"
4163,"cf107"
4165,"cf102"
4169,"cf111"
4173,"cf105"
4188,"cf111"
4210,"cf410"
4213,"cf245"
4223,"cf101"
4238,"cf107"
4239,"cf102"
4240,"cf101"
4243,"cf107"
4244,"cf116"
4245,"cf107"
4247,"cf106"
4249,"cf107"
4250,"cf113"
4251,"cf113"
4259,"cf101"
4260,"cf101"
4262,"cf113"
4263,"cf106"
4265,"cf116"
4267,"cf107"
4268,"cf107"
4269,"cf106"
4270,"cf113"
4271,"cf106"
4274,"cf102"
4275,"cf102"
4302,"cf125"
4308,"cf219"
4323,"cf211"
4331,"cf105"
4340,"cf603"
4344,"cf102"
4347,"cf102"
4349,"cf103"
4351,"cf103"
4360,"cf103"
4367,"cf106"
4370,"cf126"
4372,"cf103"
4373,"cf126"
4375,"cf105"
4376,"cf103"
4378,"cf103"
4380,"cf103"
4382,"cf126"
4385,"cf103"
4386,"cf105"
4388,"cf105"
4389,"cf102"
4395,"cf103"
4399,"cf103"
4400,"cf105"
4405,"cf105"
4409,"cf103"
4411,"cf108"
4412,"cf108"
4415,"cf103"
4417,"cf112"
4419,"cf106"
4423,"cf106"
4424,"cf103"
4425,"cf103"
4429,"cf118"
4431,"cf108"
4441,"cf105"
4444,"cf102"
4445,"cf126"
4446,"cf108"
4448,"cf107"
4449,"cf105"
4450,"cf108"
4451,"cf107"
4457,"cf126"
4462,"cf401"
4478,"cf102"
4480,"cf121"
4481,"cf109"
4485,"cf121"
4489,"cf108"
4490,"cf102"
4503,"cf403"
4505,"cf105"
4507,"cf103"
4515,"cf105"
4516,"cf105"
4517,"cf102"
4518,"cf108"
4520,"cf103"
4521,"cf101"
4528,"cf413"
4547,"cf242"
4553,"cf111"
4566,"cf125"
4570,"cf410"
4577,"cf211"
4578,"cf245"
4585,"cf413"
4590,"cf123"
4591,"cf407"
4613,"cf108"
4618,"cf108"
4624,"cf102"
4633,"cf115"
4636,"cf218"
4640,"cf242"
4646,"cf123"
4653,"cf242"
4659,"cf129"
4660,"cf124"
4687,"cf245"
4695,"cf121"
4698,"cf245"
4707,"cf402"
4708,"cf111"
4720,"cf410"
4738,"cf132"
4739,"cf123"
4748,"cf242"
4761,"cf402"
4766,"cf123"
4789,"cf106"
4794,"cf242"
4797,"cf117"
4847,"cf202"
4855,"cf402"
4860,"cf604"
4870,"cf133"
4900,"cf133"
4909,"cf119"
4911,"cf123"
4924,"cf211"
4925,"cf403"
4939,"cf242"
4948,"cf401"
4968,"cf233"
4973,"cf132"
4987,"cf111"
5009,"cf118"
5011,"cf201"
5013,"cf201"
5015,"cf112"
5017,"cf109"
5023,"cf108"
5026,"cf102"
5028,"cf121"
5029,"cf121"
5031,"cf105"
5032,"cf118"
5034,"cf118"
5037,"cf108"
5040,"cf201"
5041,"cf112"
5043,"cf112"
5046,"cf121"
5047,"cf108"
5049,"cf105"
5051,"cf118"
5052,"cf118"
5053,"cf102"
5060,"cf108"
5061,"cf201"
5062,"cf121"
5064,"cf108"
5065,"cf107"
5066,"cf108"
5067,"cf201"
5068,"cf201"
5069,"cf102"
5071,"cf108"
5078,"cf107"
5089,"cf111"
5107,"cf242"
5109,"cf111"
5115,"cf111"
5118,"cf101"
5141,"cf111"
5157,"cf115"
5182,"cf111"
5210,"cf242"
5227,"cf242"
5247,"cf109"
5249,"cf105"
5258,"cf109"
5265,"cf105"
5278,"cf125"
5293,"cf102"
5295,"cf101"
5297,"cf102"
5299,"cf113"
5300,"cf604"
5310,"cf103"
5313,"cf102"
5316,"cf102"
5338,"cf119"
5339,"cf413"
5347,"cf101"
5370,"cf115"
5371,"cf604"
5399,"cf105"
5403,"cf245"
5408,"cf124"
5431,"cf110"
5432,"cf413"
5435,"cf110"
5437,"cf110"
5488,"cf133"
5492,"cf123"
5500,"cf108"
5502,"cf108"
5508,"cf108"
5512,"cf103"
5517,"cf132"
5519,"cf119"
5527,"cf245"
5528,"cf105"
5530,"cf245"
5536,"cf604"
5575,"cf111"
5586,"cf135"
5604,"cf109"
5613,"cf133"
5621,"cf111"
5650,"cf604"
5654,"cf117"
5656,"cf101"
5674,"cf109"
5676,"cf118"
5686,"cf111"
5687,"cf118"
5690,"cf111"
5694,"cf408"
5697,"cf420"
5700,"cf402"
5715,"cf408"
5739,"cf218"
5840,"cf402"
5843,"cf604"
5844,"cf102"
5854,"cf106"
5856,"cf205"
5857,"cf102"
5859,"cf127"
5861,"cf115"
5863,"cf102"
5864,"cf107"
5874,"cf125"
5885,"cf103"
5886,"cf103"
5888,"cf103"
5895,"cf118"
5925,"cf233"
5932,"cf109"
5933,"cf101"
5945,"cf108"
5957,"cf402"
5965,"cf110"
5966,"cf102"
5967,"cf102"
5971,"cf110"
5976,"cf102"
5977,"cf102"
5981,"cf102"
5984,"cf122"
5985,"cf101"
5987,"cf113"
5991,"cf110"
5993,"cf106"
5994,"cf105"
5995,"cf102"
5996,"cf108"
5997,"cf108"
5998,"cf110"
5999,"cf110"
6001,"cf102"
6003,"cf110"
6004,"cf102"
6007,"cf102"
6009,"cf113"
6012,"cf113"
6015,"cf108"
6016,"cf110"
6017,"cf110"
6018,"cf106"
6019,"cf113"
6029,"cf110"
6033,"cf106"
6034,"cf108"
6036,"cf113"
6038,"cf101"
6040,"cf113"
6041,"cf113"
6042,"cf122"
6043,"cf106"
6045,"cf102"
6047,"cf106"
6048,"cf110"
6050,"cf122"
6051,"cf108"
6054,"cf110"
6070,"cf113"
6079,"cf402"
6085,"cf105"
6101,"cf134"
6106,"cf408"
6124,"cf242"
6148,"cf101"
6151,"cf105"
6154,"cf113"
6157,"cf118"
6160,"cf103"
6161,"cf113"
6162,"cf102"
6164,"cf106"
6168,"cf113"
6171,"cf110"
6173,"cf113"
6176,"cf108"
6179,"cf103"
6184,"cf102"
6185,"cf101"
6187,"cf113"
6193,"cf101"
6197,"cf102"
6198,"cf101"
6200,"cf110"
6201,"cf108"
6202,"cf118"
6203,"cf108"
6204,"cf108"
6208,"cf113"
6209,"cf108"
6210,"cf108"
6211,"cf113"
6213,"cf106"
6215,"cf103"
6218,"cf105"
6221,"cf401"
6222,"cf125"
6223,"cf109"
6228,"cf125"
6229,"cf102"
6230,"cf122"
6231,"cf122"
6232,"cf105"
6235,"cf125"
6245,"cf248"
6247,"cf123"
6257,"cf248"
6266,"cf109"
6271,"cf111"
6272,"cf109"
6275,"cf109"
6304,"cf245"
6319,"cf111"
6326,"cf123"
6328,"cf413"
6332,"cf408"
6341,"cf108"
6343,"cf117"
6344,"cf108"
6350,"cf113"
6358,"cf101"
6364,"cf121"
6367,"cf121"
6386,"cf221"
6387,"cf123"
6402,"cf123"
6408,"cf402"
6410,"cf113"
6414,"cf110"
6418,"cf122"
6419,"cf122"
6423,"cf102"
6428,"cf103"
6431,"cf102"
6434,"cf112"
6436,"cf101"
6438,"cf103"
6439,"cf122"
6441,"cf101"
6442,"cf102"
6446,"cf103"
6451,"cf108"
6453,"cf114"
6454,"cf106"
6455,"cf102"
6457,"cf101"
6460,"cf122"
6470,"cf110"
6471,"cf106"
6472,"cf105"
6473,"cf103"
6474,"cf108"
6475,"cf112"
6477,"cf122"
6479,"cf105"
6480,"cf103"
6483,"cf101"
6484,"cf112"
6485,"cf102"
6487,"cf106"
6488,"cf110"
6490,"cf106"
6493,"cf106"
6496,"cf110"
6500,"cf111"
6506,"cf267"
6511,"cf125"
6523,"cf111"
6531,"cf111"
6563,"cf417"
6572,"cf125"
6578,"cf115"
6586,"cf129"
6602,"cf111"
6605,"cf242"
6628,"cf133"
6640,"cf212"
6643,"cf242"
6670,"cf405"
6671,"cf402"
6682,"cf245"
6720,"cf109"
6723,"cf111"
6751,"cf213"
6759,"cf218"
6762,"cf133"
6765,"cf133"
6798,"cf111"
6805,"cf605"
6808,"cf101"
6810,"cf105"
6819,"cf103"
6827,"cf109"
6832,"cf113"
6833,"cf105"
6835,"cf109"
6838,"cf201"
6841,"cf117"
6843,"cf101"
6844,"cf105"
6845,"cf101"
