"Code","Categorie","Nom fédération","Nom catégorie"
"cf414",4,"Union nationale des centres sportifs de plein air (UCPA)","Fédération multisports affinitaire"
"cf415",4,"Fédération Française omnsisports des personnels de l'éducation nationale et jeunesse et sports","Fédération multisports affinitaire"
"cf417",4,"Union Nationale Sportive Léo Lagrange","Fédération multisports affinitaire"
"cf418",4,"Fédération Française du sport d'entreprise","Fédération multisports affinitaire"
"cf420",4,"Fédération sportive des ASPTT","Fédération multisports affinitaire"
"cf421",4,"Fédération Française des sports populaires","Fédération multisports affinitaire"
"cf501",5,"Fédération Française handisport","Fédération multisports sport et handicap"
"cf503",5,"Fédération Française du sport adapté","Fédération multisports sport et handicap"
"cf601",6,"Fédération française du sport universitaire","Fédération multisports scolaire ou universitaire"
"cf602",6,"Fédération sportive éducative de l'enseignement catholique (UGSEL)","Fédération multisports scolaire ou universitaire"
"cf603",6,"Union nationale des clubs universitaires","Fédération multisports scolaire ou universitaire"
"cf604",6,"Union nationale du sport scolaire (UNSS)","Fédération multisports scolaire ou universitaire"
"cf605",6,"Union sportive de l'enseignement du premier degré","Fédération multisports scolaire ou universitaire"
