"Primary_key","ACTIVITY_TYPE","SEX","INSEE_CODE","job_42","CURRENT_AGE","is_student","highest_diploma","household_type","target"
116,"TACT1.2","Male","01034","csp_5_2",33,FALSE,"DIP1_5","FM1_1","Y"
118,"TACT2.1","Male","01036","csp_7_2",79,FALSE,"DIP1_3","FM2_0","J"
119,"TACT2.1","Female","01036","csp_7_7",69,FALSE,"DIP3","FM4_4","J"
123,"TACT2.1","Female","01038","csp_7_7",80,FALSE,"DIP1_3","FM1_2","J"
126,"TACT1.1","Male","01043","csp_5_3",37,FALSE,"DIP1_3","FM4_1","Y"
127,"TACT1.1","Female","01043","csp_4_3",46,FALSE,"DIP1_7","FM3_2","Y"
130,"TACT2.2","Female","01043","csp_8_4",19,TRUE,"DIP1_4","FM4_1","Y"
131,"TACT2.2","Female","01043","csp_8_4",20,TRUE,"DIP1_6","FM1_2","Y"
132,"TACT2.2","Female","01043","csp_8_4",26,TRUE,"DIP1_5","FM1_2","Y"
133,"TACT2.1","Male","01044","csp_7_8",75,FALSE,"DIP1","FM1_1","J"
135,"TACT1.1","Male","01047","csp_4_8",55,FALSE,"DIP1_5","FM4_1","Y"
136,"TACT1.2","Male","01049","csp_5_4",61,FALSE,"DIP1_3","FM1_1","J"
138,"TACT2.5","Female","01049","csp_8_5",36,FALSE,"DIP1_6","FM4_2","Y"
139,"TACT1.2","Female","01049","csp_6_7",23,FALSE,"DIP1_3","FM4_4","Y"
140,"TACT2.1","Male","01050","csp_7_5",68,FALSE,"DIP1_6","FM4_4","Y"
141,"TACT2.1","Male","01053","csp_7_8",65,FALSE,"DIP1_3","FM1_1","Y"
142,"TACT1.2","Male","01053","csp_8_1",34,FALSE,"DIP1_4","FM4_4","Y"
146,"TACT2.1","Male","01053","csp_7_8",65,FALSE,"DIP1_3","FM1_1","Y"
147,"TACT1.1","Male","01053","csp_4_7",43,FALSE,"DIP1_6","FM4_1","Y"
150,"TACT1.1","Male","01053","csp_5_2",58,FALSE,"DIP1_3","FM4_1","J"
152,"TACT2.2","Male","01053","csp_8_4",18,TRUE,"DIP1_2","FM3_2","Y"
153,"TACT2.2","Male","01053","csp_8_4",23,TRUE,"DIP1_2","FM4_4","Y"
154,"TACT1.1","Male","01053","csp_6_3",31,FALSE,"DIP1_3","FM4_1","Y"
156,"TACT2.1","Male","01053","csp_7_8",68,FALSE,"DIP1_3","FM1_1","J"
159,"TACT1.1","Female","01053","csp_2_2",76,FALSE,"DIP1_5","FM1_2","Y"
164,"TACT2.1","Female","01053","csp_7_7",75,FALSE,"DIP1_1","FM4_4","J"
166,"TACT1.1","Female","01053","csp_4_6",56,FALSE,"DIP1_3","FM4_1","J"
167,"TACT2.1","Female","01053","csp_7_7",63,FALSE,"DIP1_3","FM3_2","Y"
172,"TACT1.1","Male","01053","csp_6_7",49,FALSE,"DIP1_3","FM3_1","J"
174,"TACT2.5","Female","01053","csp_8_5",58,FALSE,"DIP1_7","FM4_2","Y"
175,"TACT2.2","Female","01053","csp_8_4",16,TRUE,"DIP1_2","FM3_2","Y"
177,"TACT1.1","Male","01053","csp_4_7",49,FALSE,"DIP1_3","FM4_1","Y"
183,"TACT2.2","Female","01053","csp_8_4",16,TRUE,"DIP3","FM4_3","Y"
184,"TACT1.2","Female","01053","csp_8_1",27,FALSE,"DIP2","FM1_2","Y"
187,"TACT1.1","Female","01053","csp_4_3",40,FALSE,"DIP1_6","FM4_1","Y"
189,"TACT2.1","Female","01053","csp_7_1",87,FALSE,"DIP1_1","FM1_2","Y"
193,"TACT2.1","Female","01053","csp_7_7",81,FALSE,"DIP1_3","FM1_2","J"
194,"TACT1.1","Female","01053","csp_5_6",59,FALSE,"DIP1_3","FM4_1","Y"
195,"TACT2.1","Female","01053","csp_7_7",75,FALSE,"DIP1_4","FM3_2","Y"
196,"TACT1.1","Male","01053","csp_6_4",63,FALSE,"DIP1_3","FM4_1","Y"
198,"TACT1.1","Male","01053","csp_3_7",50,FALSE,"DIP2","FM2_0","Y"
199,"TACT2.1","Male","01053","csp_7_8",68,FALSE,"DIP2","FM4_4","J"
200,"TACT1.1","Female","01053","csp_6_7",26,FALSE,"DIP1_3","FM4_1","J"
201,"TACT1.1","Female","01053","csp_5_5",58,FALSE,"DIP1_1","FM4_1","J"
202,"TACT1.1","Male","01054","csp_3_3",46,FALSE,"DIP1_8","FM4_2","J"
204,"TACT1.1","Male","01054","csp_5_3",54,FALSE,"DIP1_2","FM4_1","J"
205,"TACT2.4","Female","01058","csp_8_5",47,FALSE,"DIP1_3","FM4_2","Y"
207,"TACT1.1","Female","01058","csp_2_1",24,FALSE,"DIP1_3","FM4_1","J"
208,"TACT1.1","Male","01058","csp_4_6",38,FALSE,"DIP1_6","FM1_1","J"
209,"TACT2.1","Female","01058","csp_7_5",65,FALSE,"DIP1_2","FM4_4","J"
211,"TACT1.1","Female","01062","csp_5_2",48,FALSE,"DIP2","FM4_1","Y"
212,"TACT1.1","Male","01064","csp_5_3",36,FALSE,"DIP1_4","FM4_2","J"
216,"TACT2.1","Female","01065","csp_7_7",70,FALSE,"DIP1_6","FM4_4","J"
217,"TACT2.1","Female","01067","csp_7_7",68,FALSE,"DIP1_1","FM4_4","J"
220,"TACT2.1","Female","01068","csp_7_7",64,FALSE,"DIP1_4","FM1_2","Y"
222,"TACT2.4","Female","01069","csp_8_6",90,FALSE,"DIP2","FM1_2","Y"
223,"TACT1.1","Female","01069","csp_5_4",34,FALSE,"DIP1_6","FM4_1","Y"
224,"TACT2.1","Male","01071","csp_7_4",67,FALSE,"DIP1_5","FM4_4","Y"
226,"TACT2.1","Male","01071","csp_7_8",83,FALSE,"DIP1_2","FM1_1","J"
227,"TACT2.2","Male","01071","csp_8_4",20,TRUE,"DIP1_4","FM1_1","Y"
229,"TACT1.1","Female","01071","csp_4_5",57,FALSE,"DIP1_3","FM4_3","J"
230,"TACT1.1","Male","01071","csp_1_1",56,FALSE,"DIP1_3","FM3_2","J"
234,"TACT2.1","Male","01072","csp_7_8",72,FALSE,"DIP2","FM1_1","J"
236,"TACT1.1","Male","01072","csp_5_6",26,FALSE,"DIP1_3","FM4_1","Y"
240,"TACT2.1","Female","01072","csp_7_1",93,FALSE,"DIP1_2","FM3_1","Y"
246,"TACT2.1","Male","01074","csp_7_5",82,FALSE,"DIP1_4","FM4_4","Y"
250,"TACT2.1","Male","01075","csp_7_8",64,FALSE,"DIP1_5","FM4_4","Y"
251,"TACT1.1","Male","01075","csp_4_3",56,FALSE,"DIP1_4","FM3_1","J"
253,"TACT2.1","Male","01075","csp_7_8",68,FALSE,"DIP2","FM4_4","J"
255,"TACT1.1","Male","01080","csp_4_7",40,FALSE,"DIP1_3","FM4_1","Y"
256,"TACT2.1","Male","01080","csp_7_4",73,FALSE,"DIP1_7","FM4_4","J"
259,"TACT1.1","Female","01082","csp_5_6",47,FALSE,"DIP1_3","FM4_1","Y"
260,"TACT1.2","Female","01082","csp_5_2",45,FALSE,"DIP1_7","FM4_2","Y"
262,"TACT2.1","Male","01084","csp_7_8",75,FALSE,"DIP2","FM2_0","J"
263,"TACT1.1","Male","01087","csp_6_8",42,FALSE,"DIP1_4","FM4_1","Y"
264,"TACT1.1","Male","01089","csp_4_8",50,FALSE,"DIP1_3","FM4_1","Y"
265,"TACT1.1","Female","01089","csp_4_5",60,FALSE,"DIP1_3","FM4_1","Y"
266,"TACT2.1","Female","01090","csp_7_7",65,FALSE,"DIP1_3","FM1_2","J"
269,"TACT1.1","Female","01093","csp_3_4",55,FALSE,"DIP1_3","FM4_1","J"
270,"TACT1.1","Female","01093","csp_5_2",43,FALSE,"DIP1_3","FM4_3","J"
271,"TACT1.1","Female","01093","csp_6_8",24,FALSE,"DIP1_5","FM4_1","Y"
273,"TACT1.1","Male","01093","csp_3_1",47,FALSE,"DIP1_8","FM4_1","Y"
274,"TACT2.1","Male","01093","csp_7_1",62,FALSE,"DIP1_6","FM2_0","Y"
275,"TACT1.1","Male","01093","csp_5_2",24,FALSE,"DIP1_6","FM1_1","Y"
277,"TACT1.1","Male","01095","csp_6_2",47,FALSE,"DIP1_3","FM4_2","J"
280,"TACT2.2","Female","01096","csp_8_4",21,TRUE,"DIP1_6","FM2_0","Y"
286,"TACT2.5","Female","01103","csp_8_5",34,FALSE,"DIP1_7","FM4_2","Y"
287,"TACT1.1","Female","01104","csp_5_4",23,TRUE,"DIP1_6","FM3_1","Y"
288,"TACT1.1","Male","01105","csp_6_4",52,FALSE,"DIP1_3","FM1_1","J"
289,"TACT2.5","Male","01105","csp_8_5",34,FALSE,"DIP1_5","FM4_4","Y"
293,"TACT2.1","Male","01109","csp_7_4",97,FALSE,"DIP1_1","FM4_1","Y"
295,"TACT1.1","Male","01113","csp_6_2",53,FALSE,"DIP1_3","FM4_1","J"
297,"TACT1.1","Female","01114","csp_4_5",36,FALSE,"DIP1_7","FM4_1","Y"
299,"TACT2.2","Male","01116","csp_8_4",18,TRUE,"DIP1_4","FM4_1","Y"
300,"TACT1.1","Female","01118","csp_5_5",38,FALSE,"DIP1_7","FM4_1","Y"
301,"TACT2.1","Male","01123","csp_7_2",73,FALSE,"DIP1_3","FM1_1","J"
302,"TACT2.2","Male","01123","csp_8_4",20,TRUE,"DIP1_6","FM1_1","Y"
303,"TACT1.2","Female","01124","csp_3_7",30,FALSE,"DIP1_8","FM4_1","Y"
304,"TACT1.1","Male","01125","csp_4_3",44,FALSE,"DIP1_7","FM4_1","Y"
305,"TACT2.2","Male","01125","csp_8_4",18,TRUE,"DIP1_2","FM4_1","Y"
311,"TACT1.1","Male","01130","csp_3_3",34,FALSE,"DIP1_7","FM1_1","J"
313,"TACT1.1","Female","01133","csp_3_7",60,FALSE,"DIP1_3","FM4_3","J"
314,"TACT2.4","Female","01136","csp_8_5",54,FALSE,"DIP1_3","FM4_2","Y"
315,"TACT2.1","Female","01138","csp_7_5",84,FALSE,"DIP1_7","FM4_4","J"
317,"TACT1.1","Female","01138","csp_4_5",29,FALSE,"DIP1_5","FM4_1","J"
318,"TACT1.2","Female","01138","csp_8_1",36,FALSE,"DIP1_4","FM1_2","Y"
319,"TACT1.1","Male","01138","csp_3_4",54,FALSE,"DIP1_8","FM4_1","J"
321,"TACT2.5","Male","01138","csp_8_5",45,FALSE,"DIP1_3","FM1_1","Y"
322,"TACT1.1","Male","01140","csp_6_8",23,TRUE,"DIP1_3","FM4_1","J"
324,"TACT1.1","Female","01142","csp_4_3",58,FALSE,"DIP1_6","FM4_3","J"
326,"TACT1.1","Female","01142","csp_4_3",28,FALSE,"DIP1_6","FM1_2","Y"
328,"TACT1.1","Male","01142","csp_4_3",50,FALSE,"DIP1_6","FM4_1","Y"
329,"TACT2.1","Male","01142","csp_7_5",75,FALSE,"DIP1_1","FM4_4","J"
330,"TACT1.1","Male","01143","csp_4_7",38,FALSE,"DIP1_7","FM4_1","Y"
331,"TACT2.1","Female","01143","csp_7_5",62,FALSE,"DIP1_5","FM4_4","Y"
334,"TACT1.1","Male","01143","csp_5_6",27,FALSE,"DIP1_6","FM1_1","J"
335,"TACT1.1","Female","01143","csp_5_4",28,FALSE,"DIP1_7","FM1_2","J"
344,"TACT2.1","Female","01148","csp_7_8",84,FALSE,"DIP1_2","FM2_0","J"
345,"TACT1.2","Female","01148","csp_5_6",22,FALSE,"DIP1_4","FM4_4","Y"
347,"TACT2.1","Female","01148","csp_7_5",68,FALSE,"DIP1_3","FM4_4","J"
349,"TACT2.4","Male","01151","csp_8_5",54,FALSE,"DIP1","FM4_3","J"
352,"TACT1.2","Female","01153","csp_5_4",26,FALSE,"DIP1_5","FM4_4","Y"
353,"TACT1.1","Male","01153","csp_4_8",56,FALSE,"DIP3","FM4_1","Y"
355,"TACT2.1","Female","01157","csp_7_8",78,FALSE,"DIP1_3","FM4_4","J"
357,"TACT1.1","Female","01159","csp_5_2",42,FALSE,"DIP1_6","FM4_1","Y"
358,"TACT1.2","Female","01159","csp_5_6",34,FALSE,"DIP1_5","FM3_2","Y"
359,"TACT2.1","Male","01159","csp_7_7",63,FALSE,"DIP1_4","FM1_1","J"
360,"TACT1.1","Male","01159","csp_4_6",58,FALSE,"DIP1_3","FM4_1","J"
363,"TACT1.1","Female","01159","csp_5_6",51,FALSE,"DIP1_4","FM4_1","Y"
364,"TACT2.5","Female","01159","csp_8_5",27,FALSE,"DIP1_4","FM4_2","Y"
368,"TACT2.1","Male","01160","csp_7_8",75,FALSE,"DIP1_1","FM1_1","Y"
369,"TACT2.1","Female","01160","csp_7_5",77,FALSE,"DIP1_4","FM1_2","Y"
370,"TACT2.1","Female","01160","csp_7_7",67,FALSE,"DIP1_3","FM4_2","Y"
372,"TACT1.1","Female","01160","csp_4_6",42,FALSE,"DIP1_6","FM4_1","Y"
375,"TACT1.1","Male","01160","csp_4_7",26,FALSE,"DIP1_6","FM4_1","Y"
377,"TACT2.1","Female","01160","csp_7_7",81,FALSE,"DIP1_1","FM1_2","Y"
378,"TACT2.1","Male","01160","csp_7_8",68,FALSE,"DIP1_1","FM4_3","J"
379,"TACT1.1","Female","01160","csp_4_2",42,FALSE,"DIP1_8","FM4_1","Y"
380,"TACT1.1","Male","01160","csp_4_7",30,FALSE,"DIP1_5","FM4_1","Y"
383,"TACT2.1","Male","01160","csp_7_5",78,FALSE,"DIP1_6","FM4_4","Y"
385,"TACT2.1","Male","01160","csp_7_7",80,FALSE,"DIP1_4","FM4_4","J"
388,"TACT1.2","Male","01163","csp_5_3",64,FALSE,"DIP1_5","FM1_1","Y"
389,"TACT1.1","Male","01163","csp_5_4",47,FALSE,"DIP1_4","FM4_1","J"
390,"TACT2.1","Male","01165","csp_7_2",78,FALSE,"DIP2","FM4_4","J"
391,"TACT2.1","Female","01165","csp_7_7",74,FALSE,"DIP1_4","FM4_4","J"
394,"TACT2.1","Male","01166","csp_7_8",76,FALSE,"DIP1_3","FM4_4","J"
395,"TACT1.1","Female","01166","csp_5_6",39,FALSE,"DIP2","FM4_1","Y"
396,"TACT1.1","Male","01173","csp_1_1",53,FALSE,"DIP1_3","FM1_1","J"
397,"TACT1.2","Male","01173","csp_6_4",55,FALSE,"DIP1_3","FM4_3","J"
398,"TACT1.1","Female","01173","csp_4_3",58,FALSE,"DIP1_7","FM1_2","Y"
399,"TACT1.1","Female","01173","csp_4_3",58,FALSE,"DIP1_7","FM1_2","Y"
400,"TACT2.1","Female","01173","csp_7_7",65,FALSE,"DIP1_3","FM1_2","J"
401,"TACT1.1","Female","01173","csp_5_4",27,FALSE,"DIP1_3","FM4_1","Y"
404,"TACT1.1","Female","01173","csp_4_3",46,FALSE,"DIP1_7","FM4_1","Y"
405,"TACT1.2","Male","01173","csp_6_4",50,FALSE,"DIP1_3","FM4_4","Y"
406,"TACT2.1","Female","01173","csp_7_7",82,FALSE,"DIP1_2","FM4_4","J"
407,"TACT1.1","Female","01173","csp_5_6",52,FALSE,"DIP1_5","FM1_2","Y"
412,"TACT1.1","Female","01173","csp_4_6",25,FALSE,"DIP1_6","FM1_2","J"
413,"TACT2.1","Female","01173","csp_7_2",66,FALSE,"DIP1_4","FM1_2","Y"
416,"TACT1.1","Male","01173","csp_6_5",47,FALSE,"DIP1_3","FM4_1","J"
420,"TACT2.1","Male","01180","csp_7_8",74,FALSE,"DIP2","FM4_4","J"
421,"TACT1.1","Male","01181","csp_6_7",62,FALSE,"DIP2","FM3_1","J"
423,"TACT2.1","Male","01183","csp_7_7",73,FALSE,"DIP1_4","FM2_0","Y"
424,"TACT2.1","Female","01183","csp_7_5",68,FALSE,"DIP1_3","FM4_4","J"
425,"TACT1.1","Male","01184","csp_6_8",42,FALSE,"DIP1","FM4_2","J"
426,"TACT1.1","Male","01184","csp_6_3",41,FALSE,"DIP1_3","FM4_1","Y"
427,"TACT2.1","Male","01185","csp_7_4",76,FALSE,"DIP1_8","FM4_4","J"
428,"TACT1.1","Male","01185","csp_2_1",50,FALSE,"DIP1_3","FM4_1","J"
429,"TACT1.1","Male","01185","csp_5_3",36,FALSE,"DIP1_2","FM4_1","Y"
430,"TACT1.1","Male","01185","csp_3_1",64,FALSE,"DIP1_8","FM4_2","Y"
433,"TACT1.1","Male","01192","csp_2_1",39,FALSE,"DIP1_3","FM4_1","Y"
434,"TACT1.1","Male","01192","csp_6_7",38,FALSE,"DIP1_6","FM4_1","Y"
435,"TACT2.4","Female","01192","csp_8_5",45,FALSE,"DIP1_7","FM4_2","Y"
437,"TACT1.1","Female","01194","csp_5_6",37,FALSE,"DIP1_6","FM4_3","J"
438,"TACT1.2","Female","01194","csp_5_6",39,FALSE,"DIP1_3","FM4_4","J"
444,"TACT1.1","Male","01194","csp_6_7",29,FALSE,"DIP1_5","FM4_1","Y"
445,"TACT1.1","Male","01195","csp_6_4",23,FALSE,"DIP1_4","FM3_2","Y"
446,"TACT2.2","Female","01195","csp_8_4",22,TRUE,"DIP1_7","FM4_1","Y"
447,"TACT2.1","Male","01195","csp_7_8",66,FALSE,"DIP1_1","FM1_1","Y"
450,"TACT1.1","Male","01195","csp_2_1",41,FALSE,"DIP1_3","FM4_1","J"
452,"TACT2.2","Female","01199","csp_8_4",19,TRUE,"DIP1_4","FM4_1","Y"
453,"TACT1.1","Female","01199","csp_5_5",26,TRUE,"DIP1_4","FM2_0","J"
454,"TACT1.1","Male","01199","csp_3_1",35,FALSE,"DIP1_8","FM4_1","Y"
457,"TACT2.1","Male","01202","csp_7_8",73,FALSE,"DIP1_3","FM4_4","J"
460,"TACT2.1","Female","01202","csp_7_8",78,FALSE,"DIP1_3","FM4_4","J"
465,"TACT1.1","Male","01202","csp_2_2",63,FALSE,"DIP1_2","FM3_2","J"
466,"TACT1.1","Female","01202","csp_3_1",50,FALSE,"DIP1_8","FM1_2","Y"
471,"TACT2.1","Male","01207","csp_7_8",60,FALSE,"DIP1_2","FM4_3","J"
472,"TACT1.1","Female","01209","csp_4_6",54,FALSE,"DIP1_6","FM4_1","J"
475,"TACT2.1","Female","01209","csp_7_7",75,FALSE,"DIP1_1","FM4_4","J"
479,"TACT2.1","Male","01213","csp_7_5",82,FALSE,"DIP1_5","FM4_4","Y"
484,"TACT1.1","Male","01216","csp_3_8",45,FALSE,"DIP1_5","FM4_1","Y"
486,"TACT2.1","Female","01216","csp_7_8",70,FALSE,"DIP2","FM4_2","Y"
487,"TACT1.2","Male","01224","csp_6_3",41,FALSE,"DIP1_3","FM1_1","Y"
491,"TACT2.1","Male","01224","csp_7_1",77,FALSE,"DIP1_1","FM1_1","Y"
493,"TACT1.1","Female","01225","csp_5_2",31,FALSE,"DIP1_5","FM1_2","Y"
496,"TACT1.1","Female","01228","csp_5_6",61,FALSE,"DIP1_4","FM1_2","Y"
497,"TACT1.1","Female","01228","csp_5_5",27,FALSE,"DIP1_5","FM1_2","Y"
498,"TACT1.1","Male","01229","csp_2_2",51,FALSE,"DIP1_8","FM4_1","Y"
499,"TACT2.2","Male","01229","csp_8_4",21,TRUE,"DIP1_5","FM2_0","Y"
500,"TACT1.1","Male","01231","csp_4_3",34,FALSE,"DIP1_6","FM4_1","Y"
501,"TACT1.1","Female","01231","csp_5_2",46,FALSE,"DIP1_4","FM4_1","Y"
502,"TACT1.1","Female","01231","csp_2_1",38,FALSE,"DIP1_5","FM4_1","Y"
503,"TACT2.1","Female","01232","csp_7_7",84,FALSE,"DIP2","FM4_4","J"
504,"TACT2.1","Female","01232","csp_7_7",75,FALSE,"DIP1_3","FM4_4","J"
507,"TACT2.2","Male","01235","csp_8_5",15,TRUE,"DIP3","FM3_2","Y"
508,"TACT2.1","Male","01236","csp_7_4",72,FALSE,"DIP1_1","FM1_1","Y"
511,"TACT1.1","Female","01238","csp_3_4",37,FALSE,"DIP1_7","FM4_1","Y"
512,"TACT1.1","Female","01238","csp_5_4",28,FALSE,"DIP1_8","FM4_1","Y"
513,"TACT1.1","Male","01238","csp_1_1",54,FALSE,"DIP1_3","FM4_1","J"
517,"TACT2.5","Female","01239","csp_8_5",41,FALSE,"DIP1_5","FM4_2","Y"
519,"TACT2.1","Male","01240","csp_7_5",78,FALSE,"DIP1_7","FM1_1","J"
520,"TACT2.1","Female","01241","csp_7_7",95,FALSE,"DIP1_2","FM1_2","J"
522,"TACT1.1","Male","01241","csp_2_1",34,FALSE,"DIP1_5","FM1_1","Y"
523,"TACT2.1","Male","01241","csp_7_8",73,FALSE,"DIP1_3","FM4_4","J"
524,"TACT1.1","Male","01243","csp_5_6",46,FALSE,"DIP1_3","FM4_1","J"
525,"TACT1.1","Male","01244","csp_2_3",56,FALSE,"DIP1_8","FM4_1","Y"
526,"TACT1.1","Male","01244","csp_5_2",39,FALSE,"DIP1_5","FM1_1","Y"
531,"TACT2.1","Female","01244","csp_7_8",83,FALSE,"DIP1_1","FM4_4","Y"
532,"TACT1.1","Male","01244","csp_3_7",59,FALSE,"DIP1_6","FM1_1","J"
535,"TACT2.2","Male","01244","csp_8_4",18,TRUE,"DIP1_2","FM4_1","Y"
537,"TACT1.1","Male","01246","csp_6_5",33,FALSE,"DIP1_5","FM4_1","Y"
540,"TACT1.1","Female","01248","csp_5_5",25,FALSE,"DIP1_3","FM3_2","J"
541,"TACT1.1","Female","01248","csp_5_6",24,FALSE,"DIP1_1","FM4_1","Y"
543,"TACT1.2","Female","01248","csp_5_6",39,FALSE,"DIP1_4","FM4_4","Y"
544,"TACT2.1","Male","01248","csp_7_2",66,FALSE,"DIP1_3","FM4_4","J"
547,"TACT2.1","Female","01249","csp_7_7",67,FALSE,"DIP1_3","FM1_2","Y"
550,"TACT2.1","Male","01249","csp_7_8",78,FALSE,"DIP1_3","FM3_1","J"
551,"TACT2.4","Female","01249","csp_8_6",61,FALSE,"DIP1_8","FM4_4","Y"
552,"TACT2.2","Male","01249","csp_8_4",23,TRUE,"DIP1_4","FM1_1","Y"
553,"TACT2.1","Female","01249","csp_7_8",75,FALSE,"DIP2","FM1_2","Y"
554,"TACT2.1","Female","01249","csp_7_8",74,FALSE,"DIP1_1","FM4_4","Y"
555,"TACT1.1","Female","01249","csp_5_4",28,FALSE,"DIP1_5","FM4_1","Y"
556,"TACT2.1","Male","01249","csp_7_5",78,FALSE,"DIP1_2","FM4_4","J"
561,"TACT1.1","Female","01249","csp_5_4",44,FALSE,"DIP1_6","FM4_1","Y"
562,"TACT2.2","Female","01249","csp_8_4",16,TRUE,"DIP1_2","FM3_2","Y"
564,"TACT1.1","Male","01250","csp_2_1",38,FALSE,"DIP1_5","FM1_1","J"
566,"TACT2.2","Female","01252","csp_8_5",17,TRUE,"DIP3","FM4_4","Y"
570,"TACT1.1","Male","01254","csp_1_1",62,FALSE,"DIP1_3","FM4_1","J"
